date,t,cp_location,cp_location_norm,cp_score
2000-06-30,126,NA,NA,NA
2000-07-03,127,NA,NA,NA
2000-07-05,128,NA,NA,NA
2000-07-06,129,NA,NA,NA
2000-07-07,130,NA,NA,NA
2000-07-10,131,NA,NA,NA
2000-07-11,132,NA,NA,NA
2000-07-12,133,NA,NA,NA
2000-07-13,134,NA,NA,NA
2000-07-14,135,NA,NA,NA
2000-07-17,136,NA,NA,NA
2000-07-18,137,NA,NA,NA
2000-07-19,138,NA,NA,NA
2000-07-20,139,NA,NA,NA
2000-07-21,140,NA,NA,NA
2000-07-24,141,NA,NA,NA
2000-07-25,142,NA,NA,NA
2000-07-26,143,NA,NA,NA
2000-07-27,144,NA,NA,NA
2000-07-28,145,NA,NA,NA
2000-07-31,146,NA,NA,NA
2000-08-01,147,NA,NA,NA
2000-08-02,148,NA,NA,NA
2000-08-03,149,NA,NA,NA
2000-08-04,150,NA,NA,NA
2000-08-07,151,NA,NA,NA
2000-08-08,152,NA,NA,NA
2000-08-09,153,NA,NA,NA
2000-08-10,154,NA,NA,NA
2000-08-11,155,NA,NA,NA
2000-08-14,156,NA,NA,NA
2000-08-15,157,NA,NA,NA
2000-08-16,158,NA,NA,NA
2000-08-17,159,NA,NA,NA
2000-08-18,160,NA,NA,NA
2000-08-21,161,NA,NA,NA
2000-08-22,162,NA,NA,NA
2000-08-23,163,NA,NA,NA
2000-08-24,164,NA,NA,NA
2000-08-25,165,NA,NA,NA
2000-08-28,166,NA,NA,NA
2000-08-29,167,NA,NA,NA
2000-08-30,168,NA,NA,NA
2000-08-31,169,NA,NA,NA
2000-09-01,170,NA,NA,NA
2000-09-05,171,NA,NA,NA
2000-09-06,172,NA,NA,NA
2000-09-07,173,NA,NA,NA
2000-09-08,174,NA,NA,NA
2000-09-11,175,NA,NA,NA
2000-09-12,176,NA,NA,NA
2000-09-13,177,NA,NA,NA
2000-09-14,178,NA,NA,NA
2000-09-15,179,NA,NA,NA
2000-09-18,180,NA,NA,NA
2000-09-19,181,NA,NA,NA
2000-09-20,182,NA,NA,NA
2000-09-21,183,NA,NA,NA
2000-09-22,184,NA,NA,NA
2000-09-25,185,NA,NA,NA
2000-09-26,186,NA,NA,NA
2000-09-27,187,NA,NA,NA
2000-09-28,188,NA,NA,NA
2000-09-29,189,NA,NA,NA
2000-10-02,190,NA,NA,NA
2000-10-03,191,NA,NA,NA
2000-10-04,192,NA,NA,NA
2000-10-05,193,NA,NA,NA
2000-10-06,194,NA,NA,NA
2000-10-09,195,NA,NA,NA
2000-10-10,196,NA,NA,NA
2000-10-11,197,NA,NA,NA
2000-10-12,198,NA,NA,NA
2000-10-13,199,NA,NA,NA
2000-10-16,200,NA,NA,NA
2000-10-17,201,NA,NA,NA
2000-10-18,202,NA,NA,NA
2000-10-19,203,NA,NA,NA
2000-10-20,204,NA,NA,NA
2000-10-23,205,NA,NA,NA
2000-10-24,206,NA,NA,NA
2000-10-25,207,NA,NA,NA
2000-10-26,208,NA,NA,NA
2000-10-27,209,NA,NA,NA
2000-10-30,210,NA,NA,NA
2000-10-31,211,NA,NA,NA
2000-11-01,212,NA,NA,NA
2000-11-02,213,NA,NA,NA
2000-11-03,214,NA,NA,NA
2000-11-06,215,NA,NA,NA
2000-11-07,216,NA,NA,NA
2000-11-08,217,NA,NA,NA
2000-11-09,218,NA,NA,NA
2000-11-10,219,NA,NA,NA
2000-11-13,220,NA,NA,NA
